pharmacy_id,city,street,house
749,Anthonyview,Alyssa Bridge,18
750,Jonesport,Christopher Prairie,10
751,South Pamela,Jackson Fort,7
752,Wilkinsborough,Black Crest,10
753,Petersenfurt,Jeremiah Brooks,37
754,East Phillip,Beard View,21
755,Raymondmouth,Victor Circle,15
756,East Peterfurt,Samantha Groves,6
757,North Brettport,Bryan Isle,22
758,Jonesmouth,David Mill,40
759,Port Joseborough,Lewis Dam,43
760,Barnesbury,Rhodes Tunnel,29
761,South Cheyennestad,Fisher Roads,28
762,Lake Laurenburgh,Gregory Summit,23
763,Lake Garrettmouth,Williams Walk,36
764,Caitlinmouth,Ronnie Crest,6
765,Whiteland,Mitchell Passage,12
766,Pollardside,Chambers Village,42
767,Donaldmouth,Jonathan Port,13
768,New Danielview,Todd Lakes,27
769,East James,Tina Parkway,45
770,Dianatown,Alvarez Mount,11
771,West Danielmouth,Spencer Flats,33
772,Phillipside,West Lights,21
773,Danielton,Nelson Plain,5
774,East Jackson,Vicki Mountain,39
775,Olsenville,Antonio Village,46
776,North Jasonburgh,Guerrero Crossroad,34
777,Smithside,Johnson Terrace,46
778,North Kimberlychester,Watson Walk,49
779,Oneillhaven,Christopher Orchard,45
780,Port Jenniferton,Zachary Circles,32
781,Brockberg,Sherman Gateway,18
782,South Jennifer,Paula Trafficway,26
783,Floreschester,Martin Branch,12
784,Marktown,Mccoy Port,42
785,East Carla,Christopher Brooks,29
786,North Tylertown,Whitney Islands,34
787,Patrickton,Lynn Inlet,27
788,Perezstad,Patton Hills,17
789,Port Shannonberg,Kaylee Unions,3
790,Torresville,Bradley Track,28
791,North Brian,Jeffery Plains,4
792,Spencerchester,John Ferry,35
793,Port Christopher,Robert River,39
794,Sharpfort,Scott Port,16
795,Meyerfurt,Brandon Land,39
796,Bellburgh,Melody Branch,27
797,New Dustin,Wilson Loop,34
798,Snyderton,Angela Pines,49
799,Collinshaven,Shaw Glen,9
800,Port Anthony,Tammy Lock,46
801,East David,Avery Coves,28
802,New Douglasfurt,Weber Overpass,45
803,Annetteland,Brown Prairie,40
804,Hollyberg,Roberts Greens,6
805,East Toddberg,Kelly Turnpike,41
806,West Cynthiafurt,Kyle Plains,30
807,Port Larry,Kelly Plains,27
808,Bakermouth,Victoria Forges,47
809,Michaeltown,Stephens Green,5
810,Lake Kevin,Ward Point,22
811,Jessicaburgh,Rachel Light,48
812,Mayfort,Kenneth Ramp,29
813,North Charlesmouth,Wallace Coves,16
814,Pearsonview,Martin Cape,9
815,Garciaview,Dominguez Courts,24
816,Clarkeville,Myers Meadow,40
817,South Scottburgh,Michael Spurs,9
818,Jasonview,Samantha Islands,24
819,Dillonton,Garrett Isle,10
820,South Briana,Arias Trafficway,37
821,New Elizabethshire,Michael Lock,43
822,Riverstown,Chelsea Dam,35
823,West Joseph,Jones Springs,11
824,Lake Davidhaven,Young Circle,26
825,Jamesberg,Parsons Cape,36
826,Lunafurt,Christopher Island,13
827,New Philip,Vanessa Manor,1
828,East Mariahside,Nguyen Springs,44
829,New Christopher,Johnson Ridges,20
830,Port Elizabeth,Brianna Forge,44
831,Catherineberg,Mark Estates,1
832,Coleview,Martin Brook,11
833,Port Anitaview,Lopez Harbors,2
834,Port Stacey,Brown Flat,28
835,New Andrea,Lang Islands,5
836,Jessicaville,David Cove,8
837,Monroeshire,Wesley Gateway,13
838,Jenniferside,Kathy Courts,13
839,New Nicole,Lee Isle,45
840,Gibbsfurt,Michelle Plains,46
841,Port Matthewport,Alexis Freeway,33
842,Matthewmouth,Stacy Skyway,32
843,Jessicaberg,Holden Way,12
844,New Robert,Regina Mission,47
845,Howardstad,Patrick Tunnel,15
846,West Amanda,Margaret Court,48
847,Evansport,Hopkins Ridges,6
848,Whiteshire,Hawkins Gardens,40
849,South Melanie,Michelle Cliffs,39
850,West Michealmouth,Harris Fork,42
851,Lucerostad,Collins Trace,20
852,Calvinton,Watson Skyway,1
853,North Bradleyfort,Combs Shoals,27
854,Johnsonburgh,Linda Ridges,18
855,Vegaview,Paul Groves,7
856,East Luke,Warren Manors,9
857,Myershaven,Mckenzie Way,22
858,Bryantborough,Robinson Falls,47
859,Gonzalesstad,Jonathan Isle,23
860,Edwardsville,Peter Springs,12
861,Lake Gregfort,Joyce Fork,27
862,Beasleystad,Lucas Underpass,20
863,Thomasview,Nelson Burg,41
864,Contrerasburgh,Graham Cliffs,21
865,Jesseshire,Mark Passage,12
866,Merrittville,Gilbert Circles,5
867,Kristymouth,Kathleen Run,6
868,Cobbton,Thornton Mills,30
869,Weavermouth,Brittany Brooks,35
870,Alexanderland,Elizabeth Via,43
871,Port Brianmouth,Dougherty Falls,37
872,Lake Ambermouth,Oscar Ridges,8
873,Lake Adrianstad,Burton Trafficway,12
874,Joseberg,Erin Orchard,18
875,West Jocelynton,Cooper Springs,17
876,Grantshire,Marshall Ways,17
877,East Michael,Jodi Garden,39
878,Byrdmouth,Robert Radial,46
879,Wagnerbury,Lynn Tunnel,2
880,Port Roy,Jimmy Trafficway,24
881,East Catherinestad,Evans Spring,29
882,East Jamestown,Chapman Bypass,8
883,New Destiny,Tucker Spur,9
884,Bradleytown,Gomez Park,4
885,South Melissa,Michelle Coves,25
886,Phillipston,Gentry Fords,28
887,Sarafurt,Sarah Union,38
888,East Kelseymouth,Kelly Divide,5
889,Jessetown,Catherine Center,31
890,New Kimberlymouth,Sean Point,42
891,West Aaron,Kristen Pine,34
892,Richardborough,Sandra Lakes,42
893,South Christianchester,Ellis Vista,27
894,Port Alexandraland,Natasha Summit,28
895,Bartlettland,Kenneth Lane,30
896,Jamesshire,Sexton Keys,5
897,Barnesberg,Walsh Drive,47
898,Craigville,Cole Route,22
899,Patriciaborough,William Motorway,27
900,Howellmouth,Zachary Tunnel,24
901,Joditon,Sandra Stravenue,18
902,Thomasmouth,Kimberly Knoll,44
903,North Linda,Cynthia Lodge,17
904,Smithfort,Taylor Neck,14
905,Mollybury,Allen Stravenue,30
906,Lake Stephen,George Lakes,48
907,West Timothyport,Christopher Flats,35
908,Rebekahland,Shaw Road,39
909,Garnertown,Alvarez Junction,47
910,Bowmanside,Davis Light,36
911,Matthewton,Mccall Spurs,39
912,Port Michael,Robinson Brook,50
913,Hatfieldport,Barron Track,39
914,Port Antoniofort,Adkins Parks,5
915,Hughesburgh,Abigail Flat,29
916,New Michael,Ramos Mountain,37
917,Reeseport,Sarah Crossroad,9
918,Sarahhaven,Lewis Dale,35
919,Wademouth,Catherine Mill,6
920,South Kenneth,Paul Well,31
921,North Matthew,Brown Gardens,7
922,Port Matthewstad,Lauren Islands,46
923,South Brian,Mullins Village,22
924,South Rebeccaton,Roberts Square,38
925,Gilbertland,Christopher Mill,49
926,Campbellfort,Howell Cliff,42
927,Nancyshire,Gonzalez Curve,38
928,East Rachel,Herrera Ridge,44
929,Lake Blakeview,Victor Meadow,25
930,Kingberg,Smith Ford,5
931,North Emily,Mcfarland Key,50
932,West Charlesside,Laura Gateway,40
933,New Larrytown,Reyes Trace,41
934,New Christopher,Aaron Locks,5
935,Guerraberg,Cummings Groves,28
936,Port Aaron,Santos Walk,37
937,Garciashire,Timothy Spring,19
938,North Michael,Williams Hollow,34
939,South Erin,Newton Points,3
940,Port Ashley,Francisco Turnpike,48
941,Charlesburgh,Eric Haven,21
942,Medinaburgh,Rodriguez Extensions,49
943,East Jasonfurt,Palmer Crossroad,12
944,North Danielside,Brenda Vista,42
945,Lake Amyport,Jessica Summit,38
946,West Jaystad,Sara Islands,40
947,Crystalmouth,Grant Hills,2
948,Thomaschester,Shawn Camp,40
949,Craigfurt,Washington Prairie,34
950,Yolandabury,Sarah Extension,17
951,New Briantown,Gonzalez Wells,35
952,Murphyfurt,Newton Heights,23
953,Leeport,Henry View,48
954,Lake Robert,Robert Parks,10
955,Lake Janet,Vincent Flat,2
956,New Kimberlyside,Kevin Ramp,16
957,Markfurt,Kristin Trail,49
958,Lake Melissa,Gardner Forge,8
959,South Jamesville,Dunn Heights,47
960,Matthewchester,Blake Crest,16
961,Amberburgh,Mclean Extension,8
962,Parkerborough,Walker Mountains,40
963,East Tanyashire,Hess Oval,18
964,Port William,Golden Ports,23
965,Loweville,Tyler Summit,4
966,North Andrea,Christian Squares,23
967,Jamesshire,Duane Mount,1
968,Jamesview,Karen Alley,25
969,New Davidland,Daniel Knolls,24
970,Crawfordville,Justin Summit,38
971,South Robert,Francis Valley,7
972,Campbellmouth,Smith Ferry,39
973,Wongville,Reyes Walk,24
974,West Andrew,Powell Islands,30
975,Mcknighttown,Robert Lakes,40
976,Lorimouth,Maria Prairie,17
977,Darlenemouth,Nicole Pike,47
978,Michaelhaven,Guerra Drives,6
979,East Jimmy,Stephanie Hill,42
980,Debraville,Shelley Meadow,22
981,Lisaport,Martin Mission,42
982,Andreatown,Erica Junctions,50
983,Staciehaven,Michael Shore,26
984,Lake Rogerton,David Skyway,9
985,Johnsonland,Porter Bridge,32
986,Lake Nicholas,Shelley Forges,13
987,Johnview,Lauren Expressway,26
988,South Peter,Edward Plains,15
989,South Marcusfurt,Stephanie Radial,38
990,Rebeccamouth,Rush Ferry,29
991,Rayshire,Gray Ports,26
992,Johnsonside,Elizabeth Lodge,40
993,South Peterberg,Pamela Fields,35
994,East Becky,Eric Lodge,25
995,New Paula,Amber Brook,43
996,West Jocelyn,Lawrence Ports,44
997,Heatherbury,Ryan Heights,28
998,Brocktown,Sara Flat,30
999,West Christopher,Karen Circles,33
1000,Williamstown,Donna Viaduct,37
